raw_name,standard_name
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Angola,Angola
Argentina,Argentina
Armenia,Armenia
Australia,Australia
Australia/New Zealand,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bangladesh,Bangladesh
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Bolivia,Bolivia
Bolivia (Plurinational State of),Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Brunei Darussalam,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China
"China, Hong Kong SAR",China
"China, Macao SAR",China
"China, Taiwan Province of China",China
Hong Kong,China
Colombia,Colombia
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czech Republic,Czech Republic
Czechia,Czech Republic
Congo DR,Democratic Republic of the Congo
Democratic Republic of Congo,Democratic Republic of the Congo
Democratic Republic of the Congo,Democratic Republic of the Congo
Denmark,Denmark
Djibouti,Djibouti
East Timor,East Timor
Timor-Leste,East Timor
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Falkland Islands (Malvinas),Falkland Islands
Fiji,Fiji
Finland,Finland
France,France
French Guiana,France
French Polynesia,France
Guadeloupe,France
Mayotte,France
Reunion,France
Réunion,France
Gabon,Gabon
Gambia,Gambia
The Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Greenland,Greenland
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iran (Islamic Republic of),Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Cote d' Ivoire,Ivory Coast
Côte d'Ivoire,Ivory Coast
Côte d’Ivoire,Ivory Coast
Ivory Coast,Ivory Coast
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kosovo,Kosovo
"Kosovo (under UNSC res. 1244)",Kosovo
Kuwait,Kuwait
Kyrgyz Republic,Kyrgyzstan
Kyrgyzstan,Kyrgyzstan
Lao PDR,Laos
Lao People's Democratic Republic,Laos
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Lithuania,Lithuania
Luxembourg,Luxembourg
North Macedonia,Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Mali,Mali
Mauritania,Mauritania
Mexico,Mexico
Moldova,Moldova
Moldova Republic of,Moldova
Republic of Moldova,Moldova
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Dem. People's Republic of Korea,North Korea
Democratic People's Republic of Korea (North Korea),North Korea
Korea DPR,North Korea
North Korea,North Korea
